"date","movie","rank","rating","imdb.id"
2014-01-05,"Lone Survivor",3,7.6,"tt1091191"
2014-01-05,"Rush",4,8.3,"tt1979320"
2014-01-05,"12 Years a Slave",5,8.6,"tt2024544"
2014-01-05,"Saving Mr. Banks",6,7.8,"tt2140373"
2014-01-05,"American Hustle",7,7.9,"tt1800241"
2014-01-05,"About Time",8,7.8,"tt2194499"
2014-01-05,"Gravity",9,8.4,"tt1454468"
2014-01-05,"Carrie",10,6.2,"tt1939659"
2014-01-12,"The Wolf of Wall Street",1,8.7,"tt0993846"
2014-01-12,"Frozen",2,8.1,"tt2294629"
2014-01-12,"The Secret Life of Walter Mitty",3,7.7,"tt0359950"
2014-01-12,"Lone Survivor",4,7.6,"tt1091191"
2014-01-12,"American Hustle",5,7.9,"tt1800241"
2014-01-12,"The Hobbit the Desolation of Smaug",6,8.2,"tt1170358"
2014-01-12,"Jackass Presents Bad Grandpa",7,6.9,"tt3063516"
2014-01-12,"Escape Plan",8,7.1,"tt1211956"
2014-01-12,"Captain Phillips",9,8.1,"tt1535109"
2014-01-12,"12 Years a Slave",10,8.6,"tt2024544"
2014-01-19,"The Wolf of Wall Street",1,8.7,"tt0993846"
2014-01-19,"The Secret Life of Walter Mitty",2,7.7,"tt0359950"
2014-01-19,"Captain Phillips",3,8.1,"tt1535109"
2014-01-19,"Frozen",4,8.1,"tt2294629"
2014-01-19,"Last Vegas",5,6.8,"tt1204975"
2014-01-19,"Ender's Game",6,7.2,"tt1731141"
2014-01-19,"12 Years a Slave",7,8.6,"tt2024544"
